19시 10분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 35초  all   29.78    0.00    7.94   20.82    0.00    3.50    0.00    0.00    0.00   37.97
19시 10분 35초    0   19.19    0.00    5.05   27.27    0.00    6.06    0.00    0.00    0.00   42.42
19시 10분 35초    1   20.79    0.00    7.92   23.76    0.00    3.96    0.00    0.00    0.00   43.56
19시 10분 35초    2   22.92    0.00    2.08   23.96    0.00    3.12    0.00    0.00    0.00   47.92
19시 10분 35초    3   28.72    0.00   10.64   28.72    0.00   10.64    0.00    0.00    0.00   21.28
19시 10분 35초    4   81.63    0.00    6.12    4.08    0.00    0.00    0.00    0.00    0.00    8.16
19시 10분 35초    5   27.84    0.00   14.43   19.59    0.00    2.06    0.00    0.00    0.00   36.08
19시 10분 35초    6   20.21    0.00    4.26   23.40    0.00    2.13    0.00    0.00    0.00   50.00
19시 10분 35초    7   16.67    0.00    8.33   29.17    0.00    3.12    0.00    0.00    0.00   42.71
19시 10분 35초    8   16.49    0.00    8.25   23.71    0.00    5.15    0.00    0.00    0.00   46.39
19시 10분 35초    9   32.32    0.00   10.10   15.15    0.00    3.03    0.00    0.00    0.00   39.39
19시 10분 35초   10   36.36    0.00    7.07   18.18    0.00    0.00    0.00    0.00    0.00   38.38
19시 10분 35초   11   33.33    0.00   10.78   13.73    0.00    2.94    0.00    0.00    0.00   39.22

19시 10분 35초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 36초  all   30.82    0.00    7.79   19.22    0.00    3.30    0.00    0.00    0.00   38.87
19시 10분 36초    0   26.53    0.00    7.14   30.61    0.00    3.06    0.00    0.00    0.00   32.65
19시 10분 36초    1   23.71    0.00    6.19   25.77    0.00    5.15    0.00    0.00    0.00   39.18
19시 10분 36초    2   93.00    0.00    5.00    1.00    0.00    0.00    0.00    0.00    0.00    1.00
19시 10분 36초    3   23.96    0.00    9.38   26.04    0.00   10.42    0.00    0.00    0.00   30.21
19시 10분 36초    4   29.13    0.00    9.71   14.56    0.00    2.91    0.00    0.00    0.00   43.69
19시 10분 36초    5   27.84    0.00    8.25   13.40    0.00    2.06    0.00    0.00    0.00   48.45
19시 10분 36초    6   26.04    0.00    6.25   25.00    0.00    3.12    0.00    0.00    0.00   39.58
19시 10분 36초    7   26.00    0.00    8.00   27.00    0.00    3.00    0.00    0.00    0.00   36.00
19시 10분 36초    8   14.74    0.00    6.32   25.26    0.00    2.11    0.00    0.00    0.00   51.58
19시 10분 36초    9   28.71    0.00    6.93   16.83    0.00    1.98    0.00    0.00    0.00   45.54
19시 10분 36초   10   22.45    0.00    9.18   13.27    0.00    4.08    0.00    0.00    0.00   51.02
19시 10분 36초   11   26.00    0.00   11.00   13.00    0.00    2.00    0.00    0.00    0.00   48.00

19시 10분 36초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 37초  all   30.50    0.00    7.99   18.81    0.00    2.75    0.00    0.00    0.00   39.95
